IATA,ICAO,Airport,Location,Timezone,Season
MEU,SBMD,Serra do Areão Airport,"Monte Dourado, Pará, Brazil",UTC-03:00,
MEA,SBME,Benedito Lacerda Airport,"Macaé, Rio de Janeiro, Brazil",UTC-03:00,Oct-Feb
MGF,SBMG,Sílvio Name Júnior Regional Airport,"Maringá, Paraná, Brazil",UTC-03:00,Oct-Feb
MOC,SBMK,Montes Claros/Mário Ribeiro Airport,"Montes Claros, Minas Gerais, Brazil",UTC-03:00,Oct-Feb
MII,SBML,Frank Miloye Milenkowichi–Marília State Airport,"Marília, São Paulo, Brazil",UTC-03:00,Oct-Feb
PLL,SBMN,Manaus Air Force Base,"Manaus, Amazonas, Brazil",,
MCZ,SBMO,Zumbi dos Palmares International Airport,"Maceió, Alagoas, Brazil",UTC-03:00,
MCP,SBMQ,Alberto Alcolumbre International Airport,"Macapá, Amapá, Brazil",UTC-03:00,
MVF,SBMS,Gov. Dix-Sept Rosado Airport,"Mossoró, Rio Grande do Norte, Brazil",UTC-03:00,
MNX,SBMY,Manicoré Airport,"Manicoré, Amazonas, Brazil",UTC-04:00,
NVT,SBNF,Navegantes–Ministro Victor Konder International Airport,"Navegantes, Santa Catarina, Brazil",,
GEL,SBNM,Sepé Tiaraju Airport,"Santo Ângelo, Rio Grande do Sul, Brazil",UTC-03:00,Oct-Feb
NAT,SBNT,São Gonçalo do Amarante–Governador Aluízio Alves International Airport,"Natal, Rio Grande do Norte, Brazil",,
OYK,SBOI,Oiapoque Airport,"Oiapoque, Amapá, Brazil",,
POA,SBPA,Salgado Filho International Airport,"Porto Alegre, Rio Grande do Sul, Brazil",,
PHB,SBPB,Parnaíba-Prefeito Dr. João Silva Filho International Airport,"Parnaíba, Piauí, Brazil",,
POO,SBPC,Poços de Caldas Airport[1],"Poços de Caldas, Minas Gerais, Brazil",,
PFB,SBPF,Lauro Kurtz Airport,"Passo Fundo, Rio Grande do Sul, Brazil",,
PMW,SBPJ,Palmas–Brigadeiro Lysias Rodrigues Airport,"Palmas, Tocantins, Brazil",,
PET,SBPK,João Simões Lopes Neto International Airport,"Pelotas, Rio Grande do Sul, Brazil",,
PNZ,SBPL,Senador Nilo Coelho Airport,"Petrolina, Pernambuco, Brazil",,
PNB,SBPN,Porto Nacional Airport[1],"Porto Nacional, Tocantins, Brazil",,
PMG,SBPP,Ponta Porã International Airport,"Ponta Porã, Mato Grosso do Sul, Brazil",,
BPS,SBPS,Porto Seguro Airport,"Porto Seguro, Bahia, Brazil",UTC-03:00,
PVH,SBPV,Governador Jorge Teixeira de Oliveira International Airport,"Porto Velho, Rondônia, Brazil",,
RBR,SBRB,Plácido de Castro International Airport,"Rio Branco, Acre, Brazil",,
REC,SBRF,Recife/Guararapes–Gilberto Freyre International Airport,"Recife, Pernambuco, Brazil",,
RIG,SBRG,Rio Grande Regional Airport,"Rio Grande, Rio Grande do Sul, Brazil",,
SDU,SBRJ,Santos Dumont Airport,"Rio de Janeiro, Rio de Janeiro, Brazil",,
RAO,SBRP,Leite Lopes Airport,"Ribeirão Preto, São Paulo, Brazil",,
BRB,SBRR,Barreirinhas Airport,"Barreirinhas, Maranhão, Brazil",UTC-03:00,
SNZ,SBSC,Santa Cruz Air Force Base,"Rio de Janeiro, Rio de Janeiro, Brazil",,
SJK,SBSJ,Professor Urbano Ernesto Stumpf Airport,"São José dos Campos, São Paulo, Brazil",,
SLZ,SBSL,Marechal Cunha Machado International Airport,"São Luís, Maranhão, Brazil",,
RIA,SBSM,Santa Maria Airport,"Santa Maria, Rio Grande do Sul, Brazil",,
STM,SBSN,Santarém-Maestro Wilson Fonseca Airport,"Santarém, Pará, Brazil",,
CGH,SBSP,São Paulo/Congonhas–Deputado Freitas Nobre Airport,"São Paulo, São Paulo, Brazil",UTC-03:00,Oct–Feb
SJP,SBSR,Prof. Eribelto Manoel Reino State Airport,"São José do Rio Preto, São Paulo, Brazil",,
SSZ,SBST,Santos Air Force Base,"Santos, São Paulo, Brazil",,
SSA,SBSV,Deputado Luís Eduardo Magalhães International Airport,"Salvador, Bahia, Brazil",,
TMT,SBTB,Porto Trombetas Airport,"Porto Trombetas / Oriximiná, Pará, Brazil",,
UNA,SBTC,Una-Comandatuba Airport[1],"Una / Comandatuba Island, Bahia, Brazil",,
TOW,SBTD,Luiz dal Canalle Filho Airport[1],"Toledo, Paraná, Brazil",,
THE,SBTE,Teresina–Senador Petrônio Portella Airport,"Teresina, Piauí, Brazil",,
TFF,SBTF,Tefé Airport,"Tefé, Amazonas, Brazil",,
TJL,SBTG,Plínio Alarcom Airport,"Três Lagoas, Mato Grosso do Sul, Brazil",,
OBI,SBTI,Óbidos Airport[1],"Óbidos, Pará, Brazil",,
TRQ,SBTK,José Galera dos Santos Airport[1],"Tarauacá, Acre, Brazil",,
TEC,SBTL,Telêmaco Borba Airport[1],"Telêmaco Borba, Paraná, Brazil",,
TSQ,SBTR,Torres Airport[1],"Torres, Rio Grande do Sul, Brazil",,
TBT,SBTT,Tabatinga International Airport,"Tabatinga, Amazonas, Brazil",,
TUR,SBTU,Tucuruí Airport[1],"Tucuruí, Pará, Brazil",,
SJL,SBUA,São Gabriel da Cachoeira Airport[1],"São Gabriel da Cachoeira, Amazonas, Brazil",,
PAV,SBUF,Paulo Afonso Airport[1],"Paulo Afonso, Bahia, Brazil",,
URG,SBUG,Rubem Berta International Airport,"Uruguaiana, Rio Grande do Sul, Brazil",,
UDI,SBUL,Ten. Cel. Av. César Bombonato Airport,"Uberlândia, Minas Gerais, Brazil",,
UBA,SBUR,Mário de Almeida Franco Airport,"Uberaba, Minas Gerais, Brazil",,
VAG,SBVG,Major Brigadeiro Trompowsky Airport,"Varginha, Minas Gerais, Brazil",,
BVH,SBVH,Vilhena Airport (Brigadeiro Camarão Airport),"Vilhena, Rondônia, Brazil",UTC-04:00,
VIX,SBVT,Eurico de Aguiar Salles Airport,"Vitória, Espírito Santo, Brazil",,
IZA,SBZM,Presidente Itamar Franco Airport (Zona da Mata Regional Airport),"Juiz de Fora, Minas Gerais, Brazil",UTC-03:00,Oct-Feb
ZUD,SCAC,Pupelde Airfield,"Ancud, Chile",,
LOB,SCAN,San Rafael Airport,"Los Andes, Chile",UTC-04:00,Aug-May
WAP,SCAP,Alto Palena Airfield[1],"Palena, Chile",,
ARI,SCAR,Chacalluta International Airport,"Arica, Chile",UTC-04:00,Aug-May
WPA,SCAS,Cabo Juan Román Airfield,"Puerto Aisén, Chile",,
CPO,SCAT,Desierto de Atacama Airport,"Copiapó, Chile",UTC-04:00,Aug–May
BBA,SCBA,Balmaceda Airport,"Balmaceda, Chile",UTC-04:00,Aug-May
TOQ,SCBE,Barriles Airport[1],"Tocopilla, Chile",,
DPB,SCBI,Pampa Guanaco Airport,"Camerón, Timaukel, Tierra del Fuego Province, Magallanes Region, Chile",UTC-04:00,
CCH,SCCC,Chile Chico Airfield,"Chile Chico, Chile",UTC-04:00,Aug–May
CJC,SCCF,El Loa Airport,"Calama, Chile",UTC-04:00,Aug–May
YAI,SCCH,General Bernardo O'Higgins Airport,"Chillán, Chile",,
PUQ,SCCI,Presidente Carlos Ibáñez del Campo International Airport,"Punta Arenas, Chile",,
GXQ,SCCY,Teniente Vidal Airfield,"Coyhaique, Chile",UTC-04:00,Aug-May
IQQ,SCDA,Diego Aracena International Airport,"Iquique, Chile",UTC-04:00,Aug-May
SCL,SCEL,Comodoro Arturo Merino Benítez International Airport,"Santiago, Chile",,
ESR,SCES,Ricardo García Posada Airport,"El Salvador, Chile",UTC-04:00,Aug-May
ANF,SCFA,Cerro Moreno International Airport,"Antofagasta, Chile",UTC-04:00,Aug-May
FRT,SCFI,Frutillar Airport,"Frutillar, Chile",UTC-04:00,Aug-May
WPR,SCFM,Capitán Fuentes Martínez Airport[1],"Porvenir, Chile",,
FFU,SCFT,Futaleufú Airfield,"Futaleufú, Chile",UTC-04:00,Aug-May
UGL,SCGC,Union Glacier Blue-Ice Runway,"Heritage Range, Ellsworth Mountains, Antarctica",,
LSQ,SCGE,Maria Dolores Airport,"Los Ángeles, Chile",UTC-04:00,Aug-May
WPU,SCGZ,Guardiamarina Zañartu Airport[1],"Puerto Williams, Chile",,
LGR,SCHR,Cochrane Airfield,"Cochrane, Chile",UTC-04:00,Aug-May
CCP,SCIE,Carriel Sur International Airport,"Concepción, Chile",UTC-04:00,Aug–May
IPC,SCIP,Mataveri International Airport (Isla de Pascua Airport),"Easter Island, Chile",UTC-06:00,Aug-May
ZOS,SCJO,Cañal Bajo Carlos Hott Siebert Airport,"Osorno, Chile",,
CPP,SCKP,Coposa Airport,"Pica, Chile",,
VLR,SCLL,Vallenar Airport[1],"Vallenar, Chile",,
PNT,SCNT,Teniente Julio Gallardo Airport,"Puerto Natales, Chile",,
OVL,SCOV,El Tuqui Airport[1],"Ovalle, Chile",,
ZPC,SCPC,Pucón Airport,"Pucón, Chile",,
MHC,SCPQ,Mocopulli Airport,"Castro, Chile",UTC-04:00,Aug-May
PUX,SCPV,El Mirador Airport[1],"Puerto Varas, Chile",,
COW,SCQB,Coquimbo Airport,"Coquimbo, Chile",UTC-04:00,Aug–May
ZCO,SCQP,La Araucanía Airport,"Temuco, Chile",,
CNR,SCRA,Chañaral Airport,"Chañaral, Chile",UTC-04:00,Aug–May
VAP,SCRD,Rodelillo Airfield[1],"Valparaíso, Chile",,
QRC,SCRG,Rancagua de la Independencia Airport,"Rancagua, Chile",,
TNM,SCRM,Teniente R. Marsh Airport,"King George Island, Antarctica",,
SMB,SCSB,Franco Bianco Airport[1],"Cerro Sombrero, Chile",,
LSC,SCSE,La Florida Airport,"La Serena, Chile",UTC-04:00,Aug-May
WCA,SCST,Gamboa Airport,"Castro, Chile",,
PZS,SCTC,Maquehue Airport[1],"Temuco, Chile",,
PMC,SCTE,El Tepual Airport,"Puerto Montt, Chile",,
TLX,SCTL,Panguilemo Airport[1],"Talca, Chile",,
WCH,SCTN,Nuevo Chaitén Airport,"Chaitén, Chile",,
ZIC,SCTO,Victoria Airport,"Victoria, Chile",,
TTC,SCTT,Las Breas Airport[1],"Taltal, Chile",,
ZAL,SCVD,Pichoy Airport,"Valdivia, Chile",,
KNA,SCVM,Viña del Mar Airport,"Viña del Mar, Chile",UTC-04:00,Aug–May
OLC,SDCG,Senadora Eunice Michiles Airport[1],"São Paulo de Olivença, Amazonas, Brazil",,
SOD,SDCO,Bertram Luiz Leupolz–Sorocaba Airport,"Sorocaba, São Paulo, Brazil",,
JLS,SDJL[3],Jales Airport,"Jales, São Paulo, Brazil",UTC-03:00,Oct-Feb
OUS,SDOU,Jornalista Benedito Pimentel–Ourinhos State Airport[1],"Ourinhos, São Paulo, Brazil",,
OIA,SDOW,Ourilândia do Norte Airport[1],"Ourilândia do Norte, Pará, Brazil",,
REZ,SDRS,Resende Airport[1],"Resende, Rio de Janeiro, Brazil",,
QSC,SDSC,Mário Pereira Lopes Airport,"São Carlos, São Paulo, Brazil",,
UBT,SDUB,Ubatuba Airport[1] (Gastão Madeira Airport),"Ubatuba, São Paulo, Brazil",,
ITP,SDUN,Itaperuna Airport,"Itaperuna, Rio de Janeiro, Brazil",UTC-03:00,Oct-Feb
VOT,SDVG,Votuporanga Airport[1] (Domingos Pignatari Airport),"Votuporanga, São Paulo, Brazil",,
ATF,SEAM,Chachoan Airport,"Ambato, Ecuador",UTC-05:00,
OCC,SECO,Francisco de Orellana Airport,"Puerto Francisco de Orellana (Coca), Ecuador",,
CUE,SECU,Mariscal Lamar International Airport,"Cuenca, Ecuador",UTC-05:00,
GPS,SEGS,Seymour Airport,"Baltra Island, Galápagos Islands, Ecuador",UTC-06:00,
GYE,SEGU,José Joaquín de Olmedo International Airport,"Guayaquil, Ecuador",UTC-05:00,
IBB,SEII[3],General Villamil Airport[1],"Isabela Island, Galápagos Islands, Ecuador",UTC-06:00,
TNW,SEJD,Jumandy Airport[1],"Tena, Ecuador",,
JIP,SEJI,Jipijapa Airport,"Jipijapa, Ecuador",UTC-05:00,
MRR,SEMA,José María Velasco Ibarra Airport,"Macará, Ecuador",UTC-05:00,
XMS,SEMC,Edmundo Carvajal Airport,"Macas, Ecuador",,
MCH,SEMH,General Manuel Serrano Airport,"Machala, Ecuador",UTC-05:00,
MEC,SEMT,Eloy Alfaro International Airport,"Manta, Ecuador",UTC-05:00,
LGQ,SENL,Lago Agrio Airport,"Nueva Loja (Lago Agrio), Ecuador",UTC-05:00,
PTZ,SEPA,Río Amazonas Airport,"Shell Mera, Ecuador",,
PYO,SEPT,Putumayo Airport[1],"Puerto El Carmen de Putumayo, Ecuador",,
PVO,SEPV,Reales Tamarindos Airport,"Portoviejo, Ecuador",,
UIO,SEQM,Mariscal Sucre International Airport,"Quito, Ecuador",,
ETR,SERO,Santa Rosa International Airport,"Santa Rosa, Ecuador",UTC-05:00,
SNC,SESA,General Ulpiano Paez Airport,"Salinas, Ecuador",,
SUQ,SESC,Sucúa Airport[1],"Sucúa, Ecuador",,
SCY,SEST,San Cristóbal Airport,"San Cristóbal Island, Galápagos Islands, Ecuador",,
BHA,SESV,Los Perales Airport,"Bahía de Caráquez, Ecuador",UTC-05:00,
TSC,SETH,Taisha Airport[1],"Taisha, Ecuador",,
TPN,SETI,Tiputini Airport[1],"Tiputini, Ecuador",,
LOH,SETM,Ciudad de Catamayo Airport,"Loja, Ecuador",UTC-05:00,
ESM,SETN,Carlos Concha Torres International Airport,"Esmeraldas, Ecuador",UTC-05:00,
TPC,SETR,Tarapoa Airport[1],"Tarapoa, Ecuador",,
TUA,SETU,Teniente Coronel Luis a Mantilla International Airport,"Tulcán, Ecuador",,
PSY,SFAL,Port Stanley Airport,"Stanley, British Overseas Territory of Falkland Islands",,
ASU,SGAS,Silvio Pettirossi International Airport,"Asunción, Paraguay",UTC-04:00,Oct-Mar
AYO,SGAY,Juan de Ayolas Airport,"Ayolas, Paraguay",UTC-04:00,Oct-Mar
BFA[1],SGBN[4],Bahía Negra Airport[1],"Bahía Negra, Paraguay",UTC-04:00,Oct-Mar
CIO,SGCO,Teniente Coronel Carmelo Peralta Airport,"Concepción, Paraguay",UTC-04:00,Oct–Mar
ENO,SGEN,Teniente Amin Ayub Gonzalez Airport,"Encarnacion, Paraguay",UTC-04:00,Oct-Mar
AGT,SGES,Guaraní International Airport,"Ciudad del Este, Paraguay",UTC-04:00,Oct-Mar
FLM,SGFI,Filadelfia Airport,"Filadelfia, Paraguay",UTC-04:00,Oct-Mar
ESG,SGME,Dr. Luis María Argaña International Airport,"Mariscal Estigarribia, Paraguay",UTC-04:00,Oct-Mar
OLK,SGOL,Fuerte Olimpo Airport,"Fuerte Olimpo, Paraguay",,
PIL,SGPI,Carlos Miguel Jiménez Airport,"Pilar, Paraguay",,
PJC,SGPJ,Dr. Augusto Roberto Fuster International Airport,"Pedro Juan Caballero, Paraguay",,
PDF,SIAJ,Faz Taua Airport[1],"Prado, Bahia, Brazil",,
LVR,SILC,Bom Futuro Municipal Airport[2],"Lucas do Rio Verde, Mato Grosso, Brazil",UTC-04:00,Oct-Feb
FRC,SIMK,Franca Airport (Ten. Lund Presotto–Franca State Airport),"Franca, São Paulo, Brazil",UTC-03:00,Oct-Feb
JUA,SIZX,Inácio Luís do Nascimento Airport,"Juara, Mato Grosso, Brazil",UTC-04:00,Oct-Feb
NPR,SJNP,Novo Progresso Airport[1],"Novo Progresso, Pará, Brazil",,
ACR,SKAC,Araracuara Airport,"Araracuara, Colombia",UTC-05:00,
ACD,SKAD,Alcides Fernández Airport,"Acandí, Colombia",UTC-05:00,
AFI,SKAM,Amalfi Airport,"Amalfi, Colombia",UTC-05:00,
ADN,SKAN,Andes Airport,"Andes, Colombia",UTC-05:00,
API,SKAP,Captain Luis F. Gómez Niño Air Base,"Apiay, Colombia",UTC-05:00,
AXM,SKAR,El Edén International Airport,"Armenia, Colombia",UTC-05:00,
PUU,SKAS,Tres de Mayo Airport,"Puerto Asís, Colombia",,
ARQ,SKAT[3],El Troncal Airport,"Arauquita, Colombia",UTC-05:00,
ELB,SKBC,Las Flores Airport,"El Banco, Colombia",UTC-05:00,
BGA,SKBG,Palonegro International Airport,"Bucaramanga, Colombia",UTC-05:00,
NBB,SKBM,Barranco Minas Airport[1],"Barranco Minas, Colombia",,
BOG,SKBO,El Dorado International Airport,"Bogotá, Colombia",UTC-05:00,
BAQ,SKBQ,Ernesto Cortissoz International Airport,"Barranquilla, Colombia",UTC-05:00,
BSC,SKBS,José Celestino Mutis Airport,"Bahía Solano, Colombia",UTC-05:00,
BUN,SKBU,Gerardo Tobar López Airport,"Buenaventura, Colombia",UTC-05:00,
CPB,SKCA,Capurganá Airport,"Capurganá, Colombia",UTC-05:00,
CUC,SKCC,Camilo Daza International Airport,"Cúcuta, Colombia",UTC-05:00,
COG,SKCD,Mandinga Airport,"Condoto, Colombia",UTC-05:00,
CTG,SKCG,Rafael Núñez International Airport,"Cartagena, Colombia",UTC-05:00,
CCO,SKCI,Carimagua Airport,"Carimagua, Colombia",UTC-05:00,
CLO,SKCL,Alfonso Bonilla Aragón International Airport,"Cali, Colombia",UTC-05:00,
CIM,SKCM,Cimitarra Airport,"Cimitarra, Colombia",UTC-05:00,
RAV,SKCN,Cravo Norte Airport[1],"Cravo Norte, Colombia",,
TCO,SKCO,La Florida Airport[1],"Tumaco, Colombia",,
BHF,SKCP,Bahía Cupica Airport,"Bahía Cupica, Colombia",UTC-05:00,
CUO,SKCR,Caruru Airport,"Caruru, Colombia",UTC-05:00,
CAQ,SKCU,Juan H. White Airport,"Caucasia, Colombia",UTC-05:00,
CVE,SKCV,Coveñas Airport,"Coveñas, Colombia",UTC-05:00,
CZU,SKCZ,Las Brujas Airport,"Corozal, Colombia",UTC-05:00,
EBG,SKEB,El Bagre Airport (El Tomin Airport),"El Bagre, Colombia",UTC-05:00,
ECR,SKEH[2],El Charco Airport,"El Charco, Colombia",UTC-05:00,
EJA,SKEJ,Yariguíes Airport,"Barrancabermeja, Colombia",UTC-05:00,
FLA,SKFL,Gustavo Artunduaga Paredes Airport,"Florencia (Caquetá), Colombia",UTC-05:00,
LGT,SKGA,Las Gaviotas Airport,"Gaviotas, Colombia",UTC-05:00,
GIR,SKGI,Santiago Vila Airport,"Girardot, Colombia",UTC-05:00,
CRC,SKGO,Santa Ana Airport,"Cartago, Colombia",UTC-05:00,
GPI,SKGP,Guapi Airport (Juan Casiano Airport),"Guapi, Colombia",UTC-05:00,
CPL,SKHA,General Navas Pardo Airport,"Chaparral, Colombia",UTC-05:00,
HTZ,SKHC,Hato Corozal Airport,"Hato Corozal, Colombia",UTC-05:00,
IBE,SKIB,Perales Airport,"Ibagué, Colombia",UTC-05:00,
IGO,SKIG,Jaime Ortíz Betancur Airport,"Chigorodó, Colombia",UTC-05:00,
LPE,SKIM,La Primavera Airport,"La Primavera, Colombia",UTC-05:00,
IPI,SKIP,San Luis Airport,"Ipiales, Colombia",UTC-05:00,
JUO,SKJU[5],Juradó Airport,"Juradó, Colombia",UTC-05:00,
APO,SKLC,Antonio Roldán Betancourt Airport,"Apartadó, Colombia",UTC-05:00,
LQM,SKLG,Caucayá Airport,"Puerto Leguízamo, Colombia",UTC-05:00,
MCJ,SKLM,Jorge Isaacs Airport (La Mina Airport),"Maicao, Colombia",UTC-05:00,
LPD,SKLP,La Pedrera Airport,"La Pedrera, Colombia",UTC-05:00,
LET,SKLT,Alfredo Vásquez Cobo International Airport,"Leticia, Colombia",UTC-05:00,
TBD,SKMB,Timbiquí Airport[1],"Timbiquí, Colombia",,
EOH,SKMD,Olaya Herrera Airport,"Medellín, Colombia",UTC-05:00,
MFS,SKMF,Miraflores Airport,"Miraflores, Colombia",UTC-05:00,
MGN,SKMG,Baracoa Regional Airport,"Magangué, Colombia",UTC-05:00,
MTB,SKML,Montelíbano Airport,"Montelíbano, Colombia",UTC-05:00,
MMP,SKMP,San Bernardo Airport,"Mompós (Mompóx), Colombia",UTC-05:00,
MTR,SKMR,Los Garzones Airport,"Montería, Colombia",UTC-05:00,
MVP,SKMU,Fabio Alberto León Bentley Airport,"Mitú, Colombia",UTC-05:00,
MZL,SKMZ,La Nubia Airport (Santaguida Airport),"Manizales, Colombia",UTC-05:00,
LMC,SKNA,La Macarena Airport,"La Macarena, Colombia",UTC-05:00,
NCI,SKNC,Antioquia Airport[1],"Necoclí, Colombia",,
NQU,SKNQ,Reyes Murillo Airport,"Nuquí, Colombia",,
NVA,SKNV,Benito Salas Airport,"Neiva, Colombia",,
OCV,SKOC,Aguas Claras Airport[1],"Ocaña, Colombia",,
ORC,SKOE,Orocue Airport[1],"Orocué, Colombia",,
OTU,SKOT,Otú Airport[1],"Remedios, Colombia",,
RON,SKPA,Juan José Rondón Airport[1],"Paipa, Colombia",,
PCR,SKPC,Germán Olano Airport,"Puerto Carreño, Colombia",,
PDA,SKPD,Obando Airport,"Puerto Inírida, Colombia",,
PEI,SKPE,Matecaña International Airport,"Pereira, Colombia",,
PTX,SKPI,Contador Airport[1],"Pitalito, Colombia",,
PLT,SKPL,Plato Airport[1],"Plato, Colombia",,
NAR,SKPN,Puerto Nare Airport[1],"Puerto Nare, Colombia",,
PPN,SKPP,Guillermo León Valencia Airport,"Popayán, Colombia",,
PAL,SKPQ,Captain Germán Olano Moreno Air Base[1],"Palanquero, Colombia",,
PBE,SKPR,Morela Airport[1] (Puerto Berrío Airport),"Puerto Berrío, Colombia",,
PSO,SKPS,Antonio Nariño Airport,"Pasto, Colombia",,
PVA,SKPV,El Embrujo Airport,"Providencia Island, Colombia",,
PZA,SKPZ,Paz de Ariporo Airport[1],"Paz de Ariporo, Colombia",,
MQU,SKQU,Mariquita Airport,"Mariquita, Colombia",UTC-05:00,
TCD,SKRA,Tarapacá Airport[1],"Tarapacá, Colombia",,
MDE,SKRG,José María Córdova International Airport,"Medellín, Colombia",UTC-05:00,
RCH,SKRH,Almirante Padilla Airport,"Riohacha, Colombia",,
SNT,SKRU,Las Cruces Airport[1],"Sabana de Torres, Colombia",,
RVE,SKSA,Los Colonizadores Airport,"Saravena, Colombia",,
SJE,SKSJ,Jorge Enrique González Torres Airport,"San José del Guaviare, Colombia",,
SSL,SKSL,Santa Rosalía Airport[1],"Santa Rosalía, Colombia",,
SMR,SKSM,Simón Bolívar International Airport,"Santa Marta, Colombia",,
SOX,SKSO,Alberto Lleras Camargo Airport[1],"Sogamoso, Colombia",,
ADZ,SKSP,Gustavo Rojas Pinilla International Airport,"San Andres Island, Colombia",UTC-05:00,
SVI,SKSV,Eduardo Falla Solano Airport[1],"San Vicente del Caguán, Colombia",,
TIB,SKTB,Tibú Airport[1],"Tibú, Colombia",,
TDA,SKTD,Trinidad Airport[1],"Trinidad, Colombia",,
TLU,SKTL,Golfo de Morrosquillo Airport[1],"Tolú, Colombia",,
TME,SKTM,Gabriel Vargas Santos Airport,"Tame, Colombia",,
TQS,SKTQ,Captain Ernesto Esguerra Cubides Air Base[1],"Tres Esquinas, Colombia",,
TRB,SKTU,Gonzalo Mejía Airport[1],"Turbo, Colombia",,
URI,SKUB,Uribe Airport,"La Uribe, Colombia",,
AUC,SKUC,Santiago Pérez Quiroz Airport,"Arauca, Colombia",UTC-05:00,
UIB,SKUI,El Caraño Airport,"Quibdó, Colombia",,
ULQ,SKUL,Heriberto Gíl Martínez Airport[1],"Tuluá, Colombia",,
URR,SKUR,Urrao Airport[1],"Urrao, Colombia",,
VGZ,SKVG,Villa Garzón Airport,"Villagarzón, Colombia",,
PYA,SKVL,Velasquez Airport[1],"Puerto Boyacá, Colombia",,
VUP,SKVP,Alfonso López Pumarejo Airport,"Valledupar, Colombia",,
VVC,SKVV,La Vanguardia Airport[1],"Villavicencio, Colombia",,
AYG,SKYA,Yaguara Airport,"Yaguara, Colombia",UTC-05:00,
EYP,SKYP,El Alcaraván Airport,"Yopal, Colombia",UTC-05:00,
MHW,SLAG,Monteagudo Airport[1],"Monteagudo, Bolivia",UTC-04:00,
SRE,SLAL,Alcantarí Airport,"Sucre, Bolivia",,
APB,SLAP,Apolo Airport,"Apolo, Bolivia",UTC-04:00,
ASC,SLAS,Ascención de Guarayos Airport,"Ascención de Guarayos, Bolivia",UTC-04:00,
BJO,SLBJ,Bermejo Airport,"Bermejo, Bolivia",UTC-04:00,
BVL,SLBU,Baures Airport,"Baures, Bolivia",UTC-04:00,
CAM,SLCA,Camiri Airport,"Camiri, Bolivia",UTC-04:00,
CBB,SLCB,Jorge Wilstermann International Airport,"Cochabamba, Bolivia",UTC-04:00,
CCA,SLCH,Chimore Airport,"Chimoré, Cochabamba, Bolivia",UTC-04:00,
CIJ,SLCO,Captain Aníbal Arab Airport,"Cobija, Bolivia",UTC-04:00,
CEP,SLCP,Concepción Airport,"Concepción, Bolivia",UTC-04:00,
SRZ,SLET,El Trompillo Airport,"Santa Cruz de la Sierra, Bolivia",,
GYA,SLGY,Guayaramerín Airport,"Guayaramerín, Bolivia",UTC-04:00,
BVK,SLHJ,Huacaraje Airport,"Huacaraje, Bolivia",UTC-04:00,
SJS,SLJE,San José de Chiquitos Airport[1],"San José de Chiquitos, Bolivia",,
SJB,SLJO,San Joaquín Airport[1],"San Joaquín, Bolivia",,
SJV,SLJV,San Javier Airport[1],"San Javier, Bolivia",,
LPB,SLLP,El Alto International Airport,"La Paz, Bolivia",UTC-04:00,
MGD,SLMG,Magdalena Airport,"Magdalena, Bolivia",UTC-04:00,
ORU,SLOR,Juan Mendoza Airport,"Oruro, Bolivia",,
POI,SLPO,Captain Nicolas Rojas Airport[1],"Potosí, Bolivia",,
PUR,SLPR,Puerto Rico Airport[1],"Puerto Rico, Bolivia",,
PSZ,SLPS,Puerto Suárez International Airport,"Puerto Suárez, Bolivia",,
SRD,SLRA,San Ramón Airport[1],"San Ramón, Bolivia",,
RBO,SLRB,Roboré Airport[1],"Roboré, Bolivia",,
RIB,SLRI,Riberalta Airport,"Riberalta, Bolivia",,
RBQ,SLRQ,Rurrenabaque Airport,"Rurrenabaque, Bolivia",,
REY,SLRY,Reyes Airport[1],"Reyes, Bolivia",,
SBL,SLSA,Santa Ana del Yacuma Airport,"Santa Ana del Yacuma, Bolivia",,
SRJ,SLSB,Capitán Germán Quiroga Guardia Airport,"San Borja, Bolivia",,
SNG,SLSI,Capitán Av. Juan Cochamanidis Airport[1],"San Ignacio de Velasco, Bolivia",,
SNM,SLSM,San Ignacio de Moxos Airport[1],"San Ignacio de Moxos, Bolivia",,
SRB,SLSR,Santa Rosa Airport[1],"Santa Rosa de Yacuma, Bolivia",,
MQK,SLTI,San Matías Airport[1],"San Matías, Bolivia",UTC-04:00,
TJA,SLTJ,Capitán Oriel Lea Plaza Airport,"Tarija, Bolivia",,
TDD,SLTR,Teniente Jorge Henrich Arauz Airport,"Trinidad, Bolivia",,
UYU,SLUY,Uyuni Airport (Joya Andina Airport),"Uyuni, Bolivia",,
VAH,SLVG,Cap. Av. Vidal Villagomez Toledo Airport[1],"Vallegrande, Bolivia",,
VLM,SLVM,Lieutenant Colonel Rafael Pabón Airport[1],"Villamontes, Bolivia",,
VVI,SLVR,Viru Viru International Airport,"Santa Cruz de la Sierra, Bolivia",,
BYC,SLYA,Yacuiba Airport,"Yacuíba, Bolivia",UTC-04:00,
ABN,SMBN,Albina Airstrip,"Albina, Suriname",UTC-03:00,
AAJ,SMCA,Cayana Airstrip,"Awaradam, Suriname",UTC-03:00,
TOT,SMCO,Totness Airstrip,"Totness, Suriname",,
DRJ,SMDA,Drietabbetje Airstrip,"Drietabbetje, Suriname",UTC-03:00,
